"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2523","Verify that user cannot sign up using un-matched passwords","Surefire suite","Mon Oct 14 07:51:54 EEST 2024","passed","Mon Oct 14 07:51:57 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithUnMatchedPasswords"
"","12129","Verify that user cannot change email using wrong current password","Surefire suite","Mon Oct 14 07:51:11 EEST 2024","passed","Mon Oct 14 07:51:23 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangeEmailWithWrongCurrentPassword"
"","9253","Verify that user cannot change email using empty current password","Surefire suite","Mon Oct 14 07:50:36 EEST 2024","passed","Mon Oct 14 07:50:46 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangeEmailWithEmptyCurrentPassword"
"","8433","Verify that user cannot change password using empty current password","Surefire suite","Mon Oct 14 07:51:48 EEST 2024","passed","Mon Oct 14 07:51:57 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangePasswordWithEmptyCurrentPassword"
"","11889","Verify that guest user can add an item to cart with size and color","Surefire suite","Mon Oct 14 07:49:44 EEST 2024","passed","Mon Oct 14 07:49:56 EEST 2024","com.softwaretestingboard.magento.testcases.AddToCartTest","Surefire test","com.softwaretestingboard.magento.testcases.AddToCartTest","addItemWithSizeAndColorToCartAsGuest"
"","10617","Verify that user can sign in using valid email and password in full Cycle","Surefire suite","Mon Oct 14 07:51:38 EEST 2024","passed","Mon Oct 14 07:51:49 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithValidCredentialsFullCycle"
"","24403","e2e verify that user can sign up - logout - sign in - change Email - sign in with new Email","Surefire suite","Mon Oct 14 07:49:45 EEST 2024","passed","Mon Oct 14 07:50:09 EEST 2024","com.softwaretestingboard.magento.testcases.EndToEndTest","Surefire test","com.softwaretestingboard.magento.testcases.EndToEndTest","endToEndChangeEmailCycle"
"","3853","Verify that user cannot sign in using empty email","Surefire suite","Mon Oct 14 07:49:44 EEST 2024","passed","Mon Oct 14 07:49:47 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithEmptyEmail"
"","40505","Verify that user can make an order as registered user using all valid data","Surefire suite","Mon Oct 14 07:51:22 EEST 2024","passed","Mon Oct 14 07:52:03 EEST 2024","com.softwaretestingboard.magento.testcases.EndToEndTest","Surefire test","com.softwaretestingboard.magento.testcases.EndToEndTest","endToEndPurchaseCycleAsRegisteredUser"
"","8128","Verify that user cannot change password using empty new password","Surefire suite","Mon Oct 14 07:52:04 EEST 2024","passed","Mon Oct 14 07:52:12 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangePasswordWithEmptyNewPassword"
"","4515","Verify that user cannot sign up using special characters in firstname","Surefire suite","Mon Oct 14 07:51:29 EEST 2024","passed","Mon Oct 14 07:51:34 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithSpecialCharacterInFirstName"
"","17702","Verify that guest user cannot make an order with empty shipping method","Surefire suite","Mon Oct 14 07:51:26 EEST 2024","passed","Mon Oct 14 07:51:43 EEST 2024","com.softwaretestingboard.magento.testcases.CheckOutTest","Surefire test","com.softwaretestingboard.magento.testcases.CheckOutTest","verifyGuestCantCheckOutWithEmptyShippingMethod"
"","5616","Verify that user cannot sign up using empty Email","Surefire suite","Mon Oct 14 07:50:15 EEST 2024","passed","Mon Oct 14 07:50:20 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyEmailAndValidData"
"","4408","Verify that user cannot sign up with empty data","Surefire suite","Mon Oct 14 07:49:59 EEST 2024","passed","Mon Oct 14 07:50:03 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyData"
"","5003","Verify that user can sign in using valid email and password","Surefire suite","Mon Oct 14 07:51:25 EEST 2024","passed","Mon Oct 14 07:51:30 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithValidCredentials"
"","27709","Verify that guest user can make an order with valid shipping data","Surefire suite","Mon Oct 14 07:49:43 EEST 2024","passed","Mon Oct 14 07:50:10 EEST 2024","com.softwaretestingboard.magento.testcases.CheckOutTest","Surefire test","com.softwaretestingboard.magento.testcases.CheckOutTest","checkOutItemAsGuest"
"","4449","Verify that user cannot sign up using special characters in lastname","Surefire suite","Mon Oct 14 07:51:42 EEST 2024","passed","Mon Oct 14 07:51:46 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithSpecialCharacterInLastName"
"","22996","Verify that user can make an order as guest user using valid shipping data ","Surefire suite","Mon Oct 14 07:50:50 EEST 2024","passed","Mon Oct 14 07:51:13 EEST 2024","com.softwaretestingboard.magento.testcases.EndToEndTest","Surefire test","com.softwaretestingboard.magento.testcases.EndToEndTest","endToEndPurchaseCycleAsGuestUser"
"","4692","Verify that user cannot sign up using already registered Email","Surefire suite","Mon Oct 14 07:51:15 EEST 2024","passed","Mon Oct 14 07:51:20 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithRegisteredEmail"
"","21204","e2e verify that user can sign up - logout - sign in - change password - sign in with new password","Surefire suite","Mon Oct 14 07:50:19 EEST 2024","passed","Mon Oct 14 07:50:40 EEST 2024","com.softwaretestingboard.magento.testcases.EndToEndTest","Surefire test","com.softwaretestingboard.magento.testcases.EndToEndTest","endToEndChangePasswordCycle"
"","2329","Verify that user cannot sign in using empty email and password","Surefire suite","Mon Oct 14 07:49:59 EEST 2024","passed","Mon Oct 14 07:50:02 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithEmptyEmailAndPassword"
"","16304","Verify that user can change email using valid data","Surefire suite","Mon Oct 14 07:49:43 EEST 2024","passed","Mon Oct 14 07:50:00 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyChangeEmaildWithVaildData"
"","10767","Verify that homepage sliders are clickable","Surefire suite","Mon Oct 14 07:49:44 EEST 2024","passed","Mon Oct 14 07:49:55 EEST 2024","com.softwaretestingboard.magento.testcases.HomePageTest","Surefire test","com.softwaretestingboard.magento.testcases.HomePageTest","verifyThatHomePageSlidersClickable"
"","7881","Verify that user cannot change password using un-matched passwords","Surefire suite","Mon Oct 14 07:52:19 EEST 2024","passed","Mon Oct 14 07:52:26 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangePasswordWithUnmatchedConfirmsPassword"
"","14724","Verify that user can change password using valid data","Surefire suite","Mon Oct 14 07:50:13 EEST 2024","passed","Mon Oct 14 07:50:28 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyChangePasswordWithVaildData"
"","17896","Verify that guest user cannot make an order with empty shipping data","Surefire suite","Mon Oct 14 07:50:58 EEST 2024","passed","Mon Oct 14 07:51:16 EEST 2024","com.softwaretestingboard.magento.testcases.CheckOutTest","Surefire test","com.softwaretestingboard.magento.testcases.CheckOutTest","verifyGuestCantCheckOutWithEmptyData"
"","5373","Verify that user can sign up using all valid data","Surefire suite","Mon Oct 14 07:52:04 EEST 2024","passed","Mon Oct 14 07:52:10 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithValidData"
"","11605","Verify that user cannot sign in using empty password","Surefire suite","Mon Oct 14 07:50:10 EEST 2024","passed","Mon Oct 14 07:50:22 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithEmptyPassword"
"","2973","Verify that user cannot sign up using empty firstname","Surefire suite","Mon Oct 14 07:50:30 EEST 2024","passed","Mon Oct 14 07:50:33 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyFirstNameAndValidData"
"","2236","Verify that user cannot sign up using weak password","Surefire suite","Mon Oct 14 07:52:17 EEST 2024","passed","Mon Oct 14 07:52:19 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithWeakPassword"
"","4155","Verify that user cannot sign in using Incorrect password","Surefire suite","Mon Oct 14 07:50:32 EEST 2024","passed","Mon Oct 14 07:50:36 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithIncorrectPassword"
"","2593","Verify that user cannot sign up using empty lastname","Surefire suite","Mon Oct 14 07:50:40 EEST 2024","passed","Mon Oct 14 07:50:43 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyLastNameAndValidData"
"","6447","Verify that user cannot sign up using empty confirm password","Surefire suite","Mon Oct 14 07:49:43 EEST 2024","passed","Mon Oct 14 07:49:49 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyConfirmPasswordAndValidData"
"","3445","Verify that user cannot sign up using empty password","Surefire suite","Mon Oct 14 07:50:52 EEST 2024","passed","Mon Oct 14 07:50:55 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyPasswordAndValidData"
"","8916","Verify that user cannot change password using empty confirm password","Surefire suite","Mon Oct 14 07:51:31 EEST 2024","passed","Mon Oct 14 07:51:40 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangePasswordWithEmptyConfirmsPassword"
"","13963","Verify that registered user can add an item to cart with size and color","Surefire suite","Mon Oct 14 07:50:08 EEST 2024","passed","Mon Oct 14 07:50:22 EEST 2024","com.softwaretestingboard.magento.testcases.AddToCartTest","Surefire test","com.softwaretestingboard.magento.testcases.AddToCartTest","addItemWithSizeAndColorToCartWhileSignedIn"
"","4207","Verify that user cannot sign in using old (changed) Password","Surefire suite","Mon Oct 14 07:51:10 EEST 2024","passed","Mon Oct 14 07:51:15 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithOldPassword"
"","4052","Verify that user cannot sign in using a non-registered Email","Surefire suite","Mon Oct 14 07:50:45 EEST 2024","passed","Mon Oct 14 07:50:49 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithNonRegisteredEmail"
"","7567","Verify that user can navigate through categories","Surefire suite","Mon Oct 14 07:50:08 EEST 2024","passed","Mon Oct 14 07:50:16 EEST 2024","com.softwaretestingboard.magento.testcases.HomePageTest","Surefire test","com.softwaretestingboard.magento.testcases.HomePageTest","verifyThatHoverCategoriesWork"
"","2767","Verify that user cannot sign up using wrong Email format","Surefire suite","Mon Oct 14 07:51:04 EEST 2024","passed","Mon Oct 14 07:51:07 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithInvalidEmailFormatAndValidData"
"","2804","Verify that guest user cart is empty by default","Surefire suite","Mon Oct 14 07:50:29 EEST 2024","passed","Mon Oct 14 07:50:32 EEST 2024","com.softwaretestingboard.magento.testcases.AddToCartTest","Surefire test","com.softwaretestingboard.magento.testcases.AddToCartTest","verifyThatEmptyMsgAppearsWhenMiniCartIsEmpty"
"","9314","Verify that user cannot change email using empty email","Surefire suite","Mon Oct 14 07:50:53 EEST 2024","passed","Mon Oct 14 07:51:03 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangeEmailWithEmptyEmail"
"","3934","Verify that user cannot sign in using old (changed) Email","Surefire suite","Mon Oct 14 07:50:58 EEST 2024","passed","Mon Oct 14 07:51:02 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithOldEmail"
"","29770","Verify that user can make an order as registered user using valid shipping data or already registered shipping data","Surefire suite","Mon Oct 14 07:50:19 EEST 2024","passed","Mon Oct 14 07:50:48 EEST 2024","com.softwaretestingboard.magento.testcases.CheckOutTest","Surefire test","com.softwaretestingboard.magento.testcases.CheckOutTest","checkOutItemAsUser"
